species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower,longevity.yrs,notes
Megastraea undosa,Megastraea undosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Megastraea,Turbinidae,12,
Pomaulax gibberosus,Pomaulax gibberosus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Pomaulax,Turbinidae,10.05,
Turbo haraldi,Turbo haraldi,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae,3,
Turbo imperialis,Turbo imperialis,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae,10.05,
Turbo jourdani,Turbo jourdani,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae,10.05,
Turbo marmoratus,Turbo marmoratus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae,14,
Turritellinella tricarinata,Turritellinella tricarinata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Cerithioidea,Turritellidae,Turritellinae,Turritellinella,Turritellidae,10,
Diplodonta punctata,Diplodonta punctata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Ungulinoidea,Ungulinidae,NA,Diplodonta,Ungulinidae,6,
Phlyctiderma semiasperum,Phlyctiderma semiasperum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Ungulinoidea,Ungulinidae,NA,Phlyctiderma,Ungulinidae,55.33333333,
Anodonta anatina,Anodonta anatina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Palaeoheterodonta,NA,NA,NA,NA,Unioninae,Anodonta,Unioninae,10,
Marsenia perspicua,Marsenia perspicua,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Velutinoidea,Velutinidae,Lamellariinae,Marsenia,Velutinidae,,not found
Agriopoma morrhuanum,Agriopoma morrhuanum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Callocardiinae,Agriopoma,Veneridae,36.75,
Anomalocardia puella,Anomalocardia puella,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Anomalocardia,Veneridae,36.75,
Chamelea gallina,Chamelea gallina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chamelea,Veneridae,36.75,
Chione cancellata,Chione cancellata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chione,Veneridae,36.75,
Chioneryx grus,Chioneryx grus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chioneryx,Veneridae,36.75,
Dosinia discus,Dosinia discus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Dosiniinae,Dosinia,Veneridae,36.75,
Gemma gemma,Gemma gemma,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Gemminae,Gemma,Veneridae,16,
Gouldia cerina,Gouldia cerina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Gouldiinae,Gouldia,Veneridae,36.75,
Mercenaria mercenaria,Mercenaria mercenaria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Mercenaria,Veneridae,106,
Petricolaria pholadiformis,Petricolaria pholadiformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Petricolinae,Petricolaria,Veneridae,36.75,
Pitar fulminatus,Pitar fulminatus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Callocardiinae,Jasypitar,Veneridae,36.75,
Polititapes rhomboides,Polititapes rhomboides,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Tapetinae,Polititapes,Veneridae,36.75,
Ruditapes decussatus,Ruditapes decussatus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Tapetinae,Ruditapes,Veneridae,36.75,
Venerupis corrugata,Venerupis corrugata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Tapetinae,Venerupis,Veneridae,36.75,
Venus casina,Venus casina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Venus,Veneridae,36.75,
Thylacodes squamigerus,Thylacodes squamigerus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Vermetoidea,Vermetidae,NA,Thylacodes,Vermetidae,1.186301,
Diplosolenodes occidentalis,Diplosolenodes occidentalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,Systellommatophora,Veronicelloidea,Veronicellidae,NA,Diplosolenodes,Veronicellidae,2.75,
Abyssogena phaseoliformis,Abyssogena phaseoliformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Glossoidea,Vesicomyidae,Pliocardiinae,Abyssogena,Vesicomyidae,10,
Yoldia limatula,Yoldia limatula,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculanida,Nuculanoidea,Yoldiidae,Yoldiinae,Yoldia,Yoldiidae,4,
Schwartziella catesbyana,Schwartziella catesbyana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Zebinidae,NA,Schwartziella,Zebinidae,,not found
Zebina browniana,Zebina browniana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Zebinidae,NA,Zebina,Zebinidae,,not found
