TITLE,CONTACT_1,CONTACT_2,WEB_LINK,DATA_SOURCE
Northeast Fisheries Science Center Bottom Trawl Survey Data (OBIS-USA),Linda Despres,NA,http://www.iobis.org/mapper/?dataset=1435,OBIS (Ocean Biogeographic Information System) - OBIS USA
Long-term growth mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest 1910 to present,Mark E. Harmon,Robert J. Pabst and Suzanne M. Remillard,http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=TV010,HJ Andrews Experimental Forest LTER. USA
Landbird Monitoring Program (UMT-LBMP),Richard L. Hutto,NA,http://www.treesearch.fs.fed.us/pubs/32091,Avian Knowledge Network
Vegetation Plots of the Bonanza Creek LTER Control Plots Species Count (1975 - 2004),Teresa Hollingsworth,NA,https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-bnz.175.20,Bonanza Creek LTER - University of Alaska Fairbanks
Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey,Peter Reich,NA,http://www.cedarcreek.umn.edu/research/experiments/e133,Cedar Creek Ecosystem Science Reserve
Point count bird censusing long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix period 2000 to 2011,Nancy Grimm,NA,https://caplter.asu.edu/data/data-catalog/?id=46,Central Arizona-Phoenix LTER
Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000,Nancy Grimm,NA,https://caplter.asu.edu/data/data-catalog/?id=43,Central Arizona-Phoenix LTER
Coastal ecological data from the Virginian Biogeographic Province 1990 to 1993,Stephen S. Hale,NA,http://www.esapubs.org/archive/ecol/E083/057/default.htm,ESA - Ecological Publications (Ecology)
Upper Little Tennessee River Biomonitoring Program Database - LTWA Biomonitoring Database,William O. McLarney,NA,https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045,Coweeta Long Term Ecological Research Program
Macrophyte count data collected from Northeast Shark Slough Everglades National Park (FCE) from September 2006 to Present,Evelyn?Gaiser,Evelyn Gaiser,http://fcelter.fiu.edu/data/core/metadata/?datasetid=LT_PP_Gaiser_001,Florida Coastal Everglades LTER Program
HF044. Land Use on the Southern New England and New York Coasts 1600-2001,David Foster,NA,http://harvardforest.fas.harvard.edu:8080/exist/apps/datasets/showData.html?id=hf044,The Harvard Forest Long Term Ecological Research Program
Forest Inventory of a Northern Hardwood Forest Watershed 5,Information Manager at Hubbard Brook LTER,NA,http://www.hubbardbrook.org/data/dataset.php?id=36,The Hubbard Brook Ecosystem Study LTER Program
Fish population on selected watersheds at Konza Prairie - CFP012 - Konza fish population,Keith B Gido,NA,http://www.konza.ksu.edu/KNZ/pages/data/Knzdsdetail.aspx?datasetCode=CFP01,Konza Prairie LTER Program
Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net,Emily Stanley,NA,https://lter.limnology.wisc.edu/dataset/madison-wisonsin-lakes-zooplankton-1976-1994,North Temperate Lakes Long Term Ecological Research
North Temperate Lakes LTER Zooplankton - Madison Lakes Area 1997 - current,Emily Stanley,NA,https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-madison-lakes-area-1997-current,North Temperate Lakes Long Term Ecological Research
