value
Coragyps atratus
Cranioleuca pallida
Crotophaga ani
Crypturellus noctivagus
Crypturellus obsoletus
Crypturellus tataupa
Cyanocorax caeruleus
Cypseloides fumigatus
Dacnis cayana
Dendrocolaptes platyrostris
Dendrocygna viduata
Drymophila ferruginea
Drymophila malura
Drymophila ochropyga
Drymophila squamata
Dryocopus lineatus
Dysithamnus mentalis
Dysithamnus stictothorax
Elaenia chilensis
Elaenia flavogaster
Elanoides forficatus
Eleoscytalopus indigoticus
Empidonomus varius
Eupetomena cirrochloris
Eupetomena macroura
Euphonia chalybea
Euphonia chlorotica
Euphonia pectoralis
Euphonia violacea
Falco sparverius
Florisuga fusca
Formicarius colma
Forpus xanthopterygius
Geotrygon montana
Geranospiza caerulescens
Glaucidium minutissimum
Grallaria varia
Habia rubica
Haplospiza unicolor
Harpagus diodon
Heliobletus contaminatus
Hemithraupis ruficapilla
Hemitriccus diops
Hemitriccus nidipendulus
Hemitriccus orbitatus
Herpetotheres cachinnans
Herpsilochmus rufimarginatus
Hydropsalis torquata
Hylophilus poicilotis
Hypoedaleus guttatus
Ilicura militaris
Lathrotriccus euleri
Legatus leucophaius
Lepidocolaptes falcinellus
Leptasthenura setaria
Leptopogon amaurocephalus
Leptotila rufaxilla
Leptotila verreauxi
Leucochloris albicollis
Lipaugus lanioides
Lochmias nematura
Loriotus cristatus
Lurocalis semitorquatus
Mackenziaena leachii
Mackenziaena severa
Malacoptila striata
Manacus manacus
Megaceryle torquata
Megarynchus pitangua
Megascops choliba
Melanerpes flavifrons
Merulaxis ater
Micrastur ruficollis
Micrastur semitorquatus
Milvago chimachima
Mionectes rufiventris
Muscipipra vetula
Myiarchus swainsoni
Myiobius barbatus
Myiopagis caniceps
Myiornis auricularis
Myiothlypis leucoblephara
Myiothlypis rivularis
Myiozetetes similis
Myrmotherula unicolor
Notharchus swainsoni
Nyctibius griseus
Nyctidromus albicollis
Odontophorus capueira
Orchesticus abeillei
Orthogonys chloricterus
Oxyruncus cristatus
Pachyramphus castaneus
Pachyramphus validus
Pardirallus nigricans
Patagioenas cayennensis
Patagioenas plumbea
Penelope obscura
Percnohierax leucorrhous
Phaethornis eurynome
Phaethornis pretrei
Phaethornis squalidus
Philydor atricapillus
Philydor rufum
Phyllomyias fasciatus
Phyllomyias griseocapilla
Phyllomyias virescens
Phylloscartes oustaleti
Phylloscartes paulista
Phylloscartes sylviolus
Phylloscartes ventralis
Piaya cayana
Piculus aurulentus
Piculus flavigula
Picumnus temminckii
Pionopsitta pileata
Pionus maximiliani
Pipile jacutinga
Pipraeidea melanonota
Piprites chloris
Platyrinchus mystaceus
Poecilotriccus plumbeiceps
Procnias nudicollis
Psarocolius decumanus
Psilorhamphus guttatus
Pteroglossus bailloni
Pulsatrix koeniswaldiana
Pyriglena leucoptera
Pyrocephalus rubinus
Pyroderus scutatus
Pyrrhura frontalis
Ramphastos dicolorus
Ramphocaenus melanurus
Ramphocelus bresilia
Ramphodon naevius
Ramphotrigon megacephalum
Rhopias gularis
Saltator fuliginosus
Saltator similis
Schiffornis virescens
Sclerurus scansor
Scytalopus speluncae
Selenidera maculirostris
Setophaga pitiayumi
Sirystes sibilator
Sittasomus griseicapillus
Spizaetus melanoleucus
Spizaetus ornatus
Spizaetus tyrannus
Sporophila lineola
Stelgidopteryx ruficollis
Stilpnia cayana
Streptoprocne zonaris
Strix hylophila
Synallaxis ruficapilla
Syndactyla rufosuperciliata
Syrigma sibilatrix
Tachyphonus coronatus
Tangara cyanocephala
Tangara desmaresti
Tangara seledon
Terenura maculata
Tersina viridis
Thalurania glaucopis
Thamnophilus caerulescens
Tigrisoma lineatum
Tinamus solitarius
Tityra inquisitor
Todirostrum poliocephalum
Tolmomyias sulphurescens
Touit melanonotus
Trichothraupis melanops
Triclaria malachitacea
Troglodytes musculus
Trogon rufus
Trogon surrucura
Trogon viridis
Turdus albicollis
Turdus flavipes
Turdus leucomelas
Tyrannus melancholicus
Tyto furcata
Veniliornis spilogaster
Vireo olivaceus
Volatinia jacarina
Xenops minutus
Xenops rutilans
Xiphocolaptes albicollis
Xiphorhynchus fuscus
Aythya affinis
Aythya americana
Aythya collaris
Aythya valisineria
Bucephala albeola
Mareca americana
Oxyura jamaicensis
Spatula discors
Acrocephalus bistrigiceps
Acrocephalus orientalis
Anthus hodgsoni
Anthus richardi
Asio flammeus
Carpodacus sibiricus
Cecropis daurica
Cyanopica cyanus
Emberiza aureola
Emberiza cioides
Emberiza elegans
Emberiza fucata
Emberiza leucocephalos
Emberiza pallasi
Emberiza rustica
Emberiza spodocephala
Ficedula albicilla
Ficedula mugimaki
Fringilla montifringilla
Hirundo rustica
Iduna aedon
Lanius cristatus
Luscinia svecica
Monticola cinclorhynchus
Motacilla cinerea
Motacilla tschutschensis
Passer montanus
Phoenicurus auroreus
Phylloscopus borealis
Phylloscopus fuscatus
Phylloscopus inornatus
Phylloscopus schwarzi
Prunella montanella
Saxicola torquatus
Sylvia curruca
Tarsiger cyanurus
Turdus hortulorum
Turdus pallidus
Accipiter striatus
Acropternis orthonyx
Actitis macularius
Adelomyia melanogenys
Aglaiocercus kingii
Ampelion rubrocristatus
Anas andium
Ardea herodias
Arremon assimilis
Arremon brunneinucha
Asio stygius
Atlapetes pallidinucha
Atlapetes schistaceus
Buteo platypterus
Buteo swainsoni
Buthraupis montana
Butorides striata
Cacicus chrysonotus
Cardellina canadensis
Catamblyrhynchus diadema
Catamenia inornata
Chalcostigma heteropogon
Chordeiles minor
Cinnycerthia unirufa
Cistothorus apolinari
Cnemathraupis eximia
Coccyzus americanus
Coeligena bonapartei
Coeligena helianthea
Colaptes rivolii
Colibri cyanotus
Colinus cristatus
Conirostrum albifrons
Conirostrum rufum
Conirostrum sitticolor
Contopus cooperi
Contopus fumigatus
Contopus sordidulus
Contopus virens
Cyanolyca armillata
Dendrocincla tyrannina
Dendrocygna bicolor
Diglossa albilatera
Diglossa caerulescens
Diglossa cyanea
Diglossa humeralis
Diglossa lafresnayii
Diglossa sittoides
Dubusia taeniata
Egretta caerulea
Elaenia frantzii
Elanus leucurus
Empidonax virescens
Ensifera ensifera
Eremophila alpestris
Eriocnemis cupreoventris
Eriocnemis vestita
Gallinago delicata
Gallinago nobilis
Geothlypis philadelphia
Geranoaetus melanoleucus
Glaucidium jardinii
Grallaria ruficapilla
Grallaria rufula
Grallaricula nana
Hellmayrea gularis
Henicorhina leucophrys
Icterus chrysater
Ixobrychus exilis
Kleinothraupis atropileus
Lafresnaya lafresnayi
Leiothlypis peregrina
Lesbia nuna
Lesbia victoriae
Margarornis squamiger
Mecocerculus leucophrys
Metallura tyrianthina
Mimus gilvus
Mniotilta varia
Molothrus oryzivorus
Myioborus ornatus
Myiodynastes luteiventris
Myiotheretes striaticollis
Myiothlypis luteoviridis
Myiothlypis nigrocristata
Myornis senilis
Neocrex erythrops
Nomonyx dominicus
Ochthoeca fumicolor
Ochthoeca rufipectoralis
Pachyramphus versicolor
Parkesia noveboracensis
Penelope montagnii
Petrochelidon pyrrhonota
Pheucticus aureoventris
Pheucticus ludovicianus
Phyllomyias uropygialis
Pipreola riefferii
Piranga olivacea
Piranga rubra
Podilymbus podiceps
Porphyrio martinica
Porzana carolina
Pseudocolaptes boissonneautii
Pseudospingus verticalis
Pterophanes cyanopterus
Pyrrhomyias cinnamomeus
Rallus semiplumbeus
Ramphomicron microrhynchum
Riparia riparia
Saltator striatipectus
Sayornis nigricans
Scytalopus griseicollis
Serpophaga cinerea
Setophaga castanea
Setophaga fusca
Setophaga petechia
Setophaga ruticilla
Setophaga striata
Sphenopsis melanotis
Spinus psaltria
Spinus spinescens
Sporathraupis cyanocephala
Sporophila luctuosa
Stilpnia vitriolina
Sturnella magna
Synallaxis subpudica
Synallaxis unirufa
Systellura longirostris
Tachybaptus dominicus
Tangara vassorii
Thlypopsis superciliaris
Thripadectes flammulatus
Tringa solitaria
Troglodytes solstitialis
Trogon personatus
Turdus fuscater
Turdus ignobilis
Tyrannus tyrannus
Tyto alba
Vireo flavoviridis
Xiphocolaptes promeropirhynchus
Acanthis flammea
Anthus pratensis
Anthus spinoletta
Emberiza schoeniclus
Phoenicurus ochruros
Tetrao urogallus
Turdus torquatus
Allenia fusca
Cinclocerthia ruficauda
Contopus latirostris
Elaenia martinica
Eulampis holosericeus
Eulampis jugularis
Loxigilla noctis
Margarops fuscatus
Melanospiza bicolor
Myiarchus oberi
Orthorhyncus cristatus
Riccordia bicolor
Setophaga plumbea
Vireo altiloquus
Lyrurus tetrix
Accipiter gentilis
Alauda arvensis
Alectoris rufa
Athene noctua
Caprimulgus europaeus
Certhia brachydactyla
Circaetus gallicus
Circus pygargus
Columba livia
Corvus frugilegus
Coturnix coturnix
Delichon urbicum
Emberiza calandra
Emberiza cia
Emberiza cirlus
Linaria cannabina
Locustella naevia
Lullula arborea
Luscinia megarhynchos
Milvus milvus
Motacilla flava
Perdix perdix
Phylloscopus bonelli
Pica pica
Serinus serinus
Streptopelia decaocto
Acrocephalus arundinaceus
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Bombycilla garrulus
Ciconia ciconia
Ciconia nigra
Emberiza hortulana
Galerida cristata
Grus grus
Haliaeetus albicilla
Locustella luscinioides
Oenanthe oenanthe
Saxicola rubetra
Sylvia nisoria
Acanthis hornemanni
Accipiter gularis
Aix galericulata
Anthus rubescens
Apus nipalensis
Apus pacificus
Bambusicola thoracicus
Bombycilla japonica
Chloris sinica
Cinclus pallasii
Cisticola juncidis
Corvus macrorhynchos
Cuculus hyperythrus
Cuculus optatus
Cuculus poliocephalus
Cyanoptila cyanomelana
