species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Anomalocardia puella,Anomalocardia puella,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Anomalocardia,Veneridae
Anomia simplex,Anomia simplex,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Anomia,Anomiidae
Antalis antillarum,Antalis antillarum,,Eukaryota,Animalia,Mollusca,Scaphopoda,NA,NA,NA,NA,Dentaliida,NA,Dentaliidae,NA,Antalis,Dentaliidae
Aplexa hypnorum,Aplexa hypnorum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Physidae,Aplexinae,Aplexa,Physidae
Arcuatula papyria,Arcuatula papyria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Arcuatula,Mytilidae
Arene tricarinata,Arene tricarinata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Areneidae,NA,Marevalvata,Areneidae
Armiger crista,Armiger crista,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Planorbinae,Armiger,Planorbidae
Astarte undata,Astarte undata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,Astartinae,Astarte,Astartidae
Asthenothaerus hemphilli,Asthenothaerus hemphilli,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Thracioidea,Thraciidae,NA,Asthenothaerus,Thraciidae
Astyris lunata,Astyris lunata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,NA,Astyris,Columbellidae
Bittiolum varium,Bittiolum varium,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Cerithioidea,Cerithiidae,Bittiinae,Bittiolum,Cerithiidae
Boonea bisuturalis,Boonea bisuturalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae
Boonea impressa,Boonea impressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae
Boonea seminuda,Boonea seminuda,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Boonea,Pyramidellidae
Brachidontes exustus,Brachidontes exustus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Brachidontinae,Brachidontes,Mytilidae
Bulla striata,Bulla striata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Bulloidea,Bullidae,NA,Bulla,Bullidae
Caecum floridanum,Caecum floridanum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae
Caecum imbricatum,Caecum imbricatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae
Caecum johnsoni,Caecum johnsoni,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae
Caecum pulchellum,Caecum pulchellum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae
Calyptraea centralis,Calyptraea centralis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Calyptraea,Calyptraeidae
