species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Dreissena polymorpha,Dreissena polymorpha,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,Dreissenoidea,Dreissenidae,Dreisseninae,Dreissena,Dreissenidae
Potamopyrgus antipodarum,Potamopyrgus antipodarum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Tateidae,NA,Potamopyrgus,Tateidae
Macoma balthica,Macoma balthica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Macominae,Macoma,Tellinidae
Hydrobia spp.,Hydrobia,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Hydrobiidae,Hydrobiinae,NA,Hydrobiidae
Crassostrea gigas,Crassostrea gigas,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Ostreida,Ostreoidea,Ostreidae,Crassostreinae,Magallana,Ostreidae
Agnewia tritoniformis,Agnewia tritoniformis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Agnewia,Muricidae
Aphelodoris varia,Aphelodoris varia,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Discodorididae,NA,Aphelodoris,Discodorididae
Astralium tentoriiformis,Astralium tentoriiforme,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Astralium,Turbinidae
Astralium tentorium,Astralium tentorium,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Astralium,Turbinidae
Bullina lineata,Bullina lineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Acteonoidea,Aplustridae,NA,Bullina,Aplustridae
Cabestana spengleri,Cabestana spengleri,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Cymatiidae,NA,Cabestana,Cymatiidae
Campanile symbolicum,Campanile symbolicum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Campaniloidea,Campanilidae,NA,Campanile,Campanilidae
Ceratosoma amoenum,Ceratosoma amoenum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Ceratosoma,Chromodorididae
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Ceratosoma,Chromodorididae
Chromodoris westraliensis,Chromodoris westraliensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Chromodoris,Chromodorididae
Coryphellina rubrolineata,Coryphellina rubrolineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Flabellinidae,NA,Coryphellina,Flabellinidae
Cronia aurantiaca,Cronia aurantiaca,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ergalataxinae,Cronia,Muricidae
Dendrodoris krusensternii,Dendrodoris krusensternii,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Phyllidioidea,Dendrodorididae,NA,Dendrodoris,Dendrodorididae
Dicathais orbita,Dicathais orbita,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Rapaninae,Dicathais,Muricidae
Doriprismatica atromarginata,Doriprismatica atromarginata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Doriprismatica,Chromodorididae
Doris chrysoderma,Doris chrysoderma,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Dorididae,NA,Doris,Dorididae
Goniobranchus daphne,Goniobranchus daphne,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Goniobranchus,Chromodorididae
Goniobranchus splendidus,Goniobranchus splendidus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Chromodoridinae,Goniobranchus,Chromodorididae
Hypselodoris bennetti,Hypselodoris bennetti,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Chromodoridoidea,Chromodorididae,Miamirinae,Hypselodoris,Chromodorididae
Lunella torquata,Lunella torquata,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Lunella,Turbinidae
Monoplex parthenopeus,Monoplex parthenopeus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Cymatiidae,NA,Monoplex,Cymatiidae
Octopus tetricus,Octopus tetricus,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Octopodiformes,NA,NA,Octopodidae,NA,Octopus,Octopodidae
Phyllidiella pustulosa,Phyllidiella pustulosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Phyllidioidea,Phyllidiidae,NA,Phyllidiella,Phyllidiidae
Phyllodesmium serratum,Phyllodesmium serratum,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Myrrhinidae,NA,Phyllodesmium,Myrrhinidae
Polycera capensis,Polycera capensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Polycerinae,Polycera,Polyceridae
Pteraeolidia ianthina,Pteraeolidia ianthina,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Facelinidae,Pteraeolidiinae,Pteraeolidia,Facelinidae
Ranella australasia,Ranella australasia,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Tonnoidea,Ranellidae,NA,Ranella,Ranellidae
Sepia apama,Sepia apama,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Sepiida,Sepioidea,Sepiidae,NA,Ascarosepion,Sepiidae
Sepia plangon,Sepia plangon,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Sepiida,Sepioidea,Sepiidae,NA,Ascarosepion,Sepiidae
Turbo haraldi,Turbo haraldi,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Turbo imperialis,Turbo imperialis,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Turbo jourdani,Turbo jourdani,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Elimia livescens,Elimia livescens,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Cerithioidea,Pleuroceridae,NA,Elimia,Pleuroceridae
Musculium transversum,Musculium transversum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,NA,Sphaeriidae,NA,Sphaerium,Sphaeriidae
Pseudosuccinea columella,Pseudosuccinea columella,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Lymnaeidae,NA,Pseudosuccinea,Lymnaeidae
Sphaerium striatinum,Sphaerium striatinum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,NA,Sphaeriidae,NA,Sphaerium,Sphaeriidae
Rochia nilotica,Rochia nilotica,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Tegulidae,NA,Rochia,Tegulidae
Turbo marmoratus,Turbo marmoratus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Turbinidae,Turbininae,Turbo,Turbinidae
Ancylus fluviatilis,Ancylus fluviatilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Hygrophila,NA,NA,Planorbidae,Ancylinae,Ancylus,Planorbidae
Cardiapoda richardi,Cardiapoda richardi,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Pterotracheoidea,Carinariidae,NA,Cardiapoda,Carinariidae
Moroteuthopsis ingens,Moroteuthopsis ingens,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Moroteuthopsis,Onychoteuthidae
Onykia robsoni,Onykia robsoni,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Oegopsida,NA,Onychoteuthidae,NA,Onykia,Onychoteuthidae
Pecten novaezelandiae,Pecten novaezelandiae,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pectininae,Pecten,Pectinidae
Sepioteuthis australis,Sepioteuthis australis,,Eukaryota,Animalia,Mollusca,Cephalopoda,Coleoidea,NA,NA,Decapodiformes,Myopsida,NA,Loliginidae,NA,Sepioteuthis,Loliginidae
Acanthochitona crinita,Acanthochitona crinita,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Chitonida,Cryptoplacoidea,Acanthochitonidae,Acanthochitoninae,Acanthochitona,Acanthochitonidae
Alvania punctura,Alvania punctura,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Alvania,Rissoidae
Amphorina farrani,Amphorina farrani,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Eubranchidae,NA,Amphorina,Eubranchidae
Amphorina pallida,Amphorina pallida,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Eubranchidae,NA,Amphorina,Eubranchidae
Antiopella cristata,Antiopella cristata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Proctonotoidea,Janolidae,NA,Antiopella,Janolidae
Aporrhais pespelecani,Aporrhais pespelecani,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Stromboidea,Aporrhaidae,NA,Aporrhais,Aporrhaidae
Arctica islandica,Arctica islandica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Arcticoidea,Arcticidae,NA,Arctica,Arcticidae
Asbjornsenia pygmaea,Asbjornsenia pygmaea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Moerellinae,Asbjornsenia,Tellinidae
Astarte elliptica,Astarte elliptica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Astartidae,NA,Tridonta,Astartidae
Barleeia unifasciata,Barleeia unifasciata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Barleeiidae,NA,Barleeia,Barleeiidae
Bittium reticulatum,Bittium reticulatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Cerithioidea,Cerithiidae,Bittiinae,Bittium,Cerithiidae
Boreochiton ruber,Boreochiton ruber,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Chitonida,Mopalioidea,Tonicellidae,Tonicellinae,Boreochiton,Tonicellidae
Brachystomia eulimoides,Brachystomia eulimoides,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Brachystomia,Pyramidellidae
Brachystomia scalaris,Brachystomia scalaris,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Brachystomia,Pyramidellidae
Buccinum undatum,Buccinum undatum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Buccininae,Buccinum,Buccinidae
Caecum glabrum,Caecum glabrum,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Truncatelloidea,Caecidae,Caecinae,Caecum,Caecidae
Callochiton septemvalvis,Callochiton septemvalvis,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Callochitonida,NA,Callochitonidae,NA,Callochiton,Callochitonidae
Calyptraea chinensis,Calyptraea chinensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Calyptraea,Calyptraeidae
Capulus ungaricus,Capulus ungaricus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Capuloidea,Capulidae,Capulinae,Capulus,Capulidae
Carronella pellucida,Carronella pellucida,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Flabellinidae,NA,Flabellina,Flabellinidae
Cerastoderma glaucum,Cerastoderma glaucum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Lymnocardiinae,Cerastoderma,Cardiidae
Cerithiopsis tubercularis,Cerithiopsis tubercularis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,NA,Triphoroidea,Cerithiopsidae,NA,Cerithiopsis,Cerithiopsidae
Chaetoderma nitidulum,Chaetoderma nitidulum,,Eukaryota,Animalia,Mollusca,Caudofoveata,NA,NA,NA,NA,Chaetodermatida,NA,Chaetodermatidae,NA,Chaetoderma,Chaetodermatidae
Chamelea gallina,Chamelea gallina,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chamelea,Veneridae
Chrysallida indistincta,Chrysallida indistincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Chrysallida,Pyramidellidae
Cingula trifasciata,Cingula trifasciata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Cingula,Rissoidae
Clelandella miliaris,Clelandella miliaris,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Trochidae,Cantharidinae,Clelandella,Trochidae
Cochlodesma praetenue,Cochlodesma praetenue,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Anomalodesmata,NA,Thracioidea,Periplomatidae,NA,Cochlodesma,Periplomatidae
Colus gracilis,Colus gracilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Colidae,NA,Colus,Colidae
Crenella decussata,Crenella decussata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Crenella,Mytilidae
Crepidula fornicata,Crepidula fornicata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae
Crimora papillata,Crimora papillata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Polyceroidea,Polyceridae,Triophinae,Crimora,Polyceridae
Crisilla semistriata,Crisilla semistriata,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Crisilla,Rissoidae
Cuthonella concinna,Cuthonella concinna,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Cuthonellidae,NA,Fiocuthona,Cuthonellidae
Devonia perrieri,Devonia perrieri,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Devonia,Montacutinae
Diaphana minuta,Diaphana minuta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,NA,Diaphanidae,NA,Diaphana,Diaphanidae
Diaphorodoris luteocincta,Diaphorodoris luteocincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Calycidorididae,NA,Diaphorodoris,Calycidorididae
Diodora graeca,Diodora graeca,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Lepetellida,Fissurelloidea,Fissurellidae,Fissurellideinae,Diodora,Fissurellidae
Doris pseudoargus,Doris pseudoargus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Dorididae,NA,Archidoris,Dorididae
Doto fragilis,Doto fragilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Dendronotoidea,Dotidae,NA,Doto,Dotidae
Duvaucelia lineata,Duvaucelia lineata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Tritonioidea,Tritoniidae,Tritoniinae,Candiella,Tritoniidae
Duvaucelia plebeia,Duvaucelia plebeia,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Tritonioidea,Tritoniidae,Tritoniinae,Candiella,Tritoniidae
Edmundsella pedata,Edmundsella pedata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Flabellinidae,NA,Edmundsella,Flabellinidae
Emarginula fissura,Emarginula fissura,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Lepetellida,Fissurelloidea,Fissurellidae,Emarginulinae,Emarginula,Fissurellidae
Ennucula tenuis,Ennucula tenuis,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae
Ensis magnus,Ensis magnus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Adapedonta,Solenoidea,Pharidae,Cultellinae,Ensis,Pharidae
Eubranchus vittatus,Eubranchus vittatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Fionoidea,Eubranchidae,NA,Capellinia,Eubranchidae
Euspira catena,Euspira catena,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Euspira,Naticidae
Euspira nitida,Euspira nitida,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Naticoidea,Naticidae,Polinicinae,Euspira,Naticidae
Facelina auriculata,Facelina auriculata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Nudibranchia,Aeolidioidea,Facelinidae,NA,Facelina,Facelinidae
Idaliadoris depressa,Idaliadoris depressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Onchidorididae,NA,Idaliadoris,Onchidorididae
Jorunna tomentosa,Jorunna tomentosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,Doridoidea,Discodorididae,NA,Jorunna,Discodorididae
Kurtiella bidentata,Kurtiella bidentata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,NA,Montacutinae,Kurtiella,Montacutinae
Lacuna pallidula,Lacuna pallidula,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Lacuninae,Lacuna,Littorinidae
Lacuna parva,Lacuna parva,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Lacuninae,Lacuna,Littorinidae
Lasaea adansoni,Lasaea adansoni,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,NA,Lasaeidae,NA,Lasaea,Lasaeidae
Leptochiton asellus,Leptochiton asellus,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Lepidopleurida,NA,Leptochitonidae,NA,Leptochiton,Leptochitonidae
Leptochiton cancellatus,Leptochiton cancellatus,,Eukaryota,Animalia,Mollusca,Polyplacophora,Neoloricata,NA,NA,NA,Lepidopleurida,NA,Leptochitonidae,NA,Leptochiton,Leptochitonidae
Littorina fabalis,Littorina fabalis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Littorina,Littorinidae
Littorina saxatilis,Littorina saxatilis,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Littorina,Littorinidae
Macomangulus tenuis,Macomangulus tenuis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Tellinidae,Tellininae,Macomangulus,Tellinidae
Margarites helicinus,Margarites helicinus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Margaritesidae,NA,Margarites,Margaritesidae
Marsenia perspicua,Marsenia perspicua,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Velutinoidea,Velutinidae,Lamellariinae,Marsenia,Velutinidae
Melarhaphe neritoides,Melarhaphe neritoides,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Littorinoidea,Littorinidae,Littorininae,Melarhaphe,Littorinidae
Mimachlamys varia,Mimachlamys varia,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Pectinoidea,Pectinidae,Pedinae,Mimachlamys,Pectinidae
Modiolus modiolus,Modiolus modiolus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Modiolidae,Modiolinae,Modiolus,Modiolidae
Musculus subpictus,Musculus subpictus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Musculus,Mytilidae
Mya arenaria,Mya arenaria,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Myinae,Mya,Myidae
Mya truncata,Mya truncata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Myidae,Myinae,Mya,Myidae
Myrtea spinifera,Myrtea spinifera,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Lucinida,Lucinoidea,Lucinidae,Myrteinae,Myrtea,Lucinidae
Neptunea antiqua,Neptunea antiqua,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Buccinidae,Neptuneinae,Neptunea,Buccinidae
Nucella lapillus,Nucella lapillus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Muricoidea,Muricidae,Ocenebrinae,Nucella,Muricidae
Nucula nitidosa,Nucula nitidosa,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae
Nucula nucleus,Nucula nucleus,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae
Nucula sulcata,Nucula sulcata,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Nucula,Nuculidae
Odostomia plicata,Odostomia plicata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,NA,Pyramidelloidea,Pyramidellidae,Odostomiinae,Odostomia,Pyramidellidae
Omalogyra atomus,Omalogyra atomus,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,"""Lower Heterobranchia""",NA,NA,NA,Omalogyroidea,Omalogyridae,Omalogyrinae,Omalogyra,Omalogyridae
Onchidoris muricata,Onchidoris muricata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Onchidorididae,NA,Onchidoris,Onchidorididae
