Class,Order,Family,Genus
Gastropoda,Neogastropoda,Busyconidae,Busycoarctum
Gastropoda,Neogastropoda,Eosiphonidae,Warenius
Bivalvia,Venerida,Veneridae,Callpita
Polyplacophora,Chitonida,Callistoplacidae,Calloplax
Bivalvia,Venerida,Vesicomyidae,Calyptogena
Bivalvia,Venerida,Vesicomyidae,Isorropodon
Bivalvia,Venerida,Vesicomyidae,Abyssogena
Bivalvia,Venerida,Vesicomyidae,Archivesica
Bivalvia,Venerida,Vesicomyidae,Ectenagena
Bivalvia,Venerida,Vesicomyidae,Phreagena
Gastropoda,Trochida,Colloniidae,Cantrainea
Gastropoda,Littorinimorpha,Carinariidae,Carinaria
Gastropoda,Littorinimorpha,Cassidae,Cassis
Gastropoda,Pteropoda,Cavoliniidae,Cavolinia
Gastropoda,Pteropoda,Cavoliniidae,Diacria
Gastropoda,Pteropoda,Cavoliniidae,Diacavolinia
Gastropoda,Littorinimorpha,Charoniidae,Charonia
Bivalvia,Pectinida,Pectinidae,Veprichlamys
Cephalopoda,Octopoda,Cirroteuthidae,Cirroteuthis
Gastropoda,Pteropoda,Cliidae,Clio
Gastropoda,Pteropoda,Clionidae,Clione
Gastropoda,Neogastropoda,Cochlespiridae,Cochlespira
Gastropoda,Neogastropoda,Cancellariidae,Tritonoharpa
Gastropoda,Neogastropoda,Pseudomelatomidae,Compsodrillia
Bivalvia,Venerida,Trapezidae,Coralliophaga
Gastropoda,Pteropoda,Creseidae,Creseis
Gastropoda,Littorinimorpha,Calyptraeidae,Crucibulum
Bivalvia,Pectinida,Pectinidae,Cryptopecten
Cephalopoda,Bathyteuthida,Chtenopterygidae,Chtenopteryx
Cephalopoda,Oegopsida,Cycloteuthidae,Cycloteuthis
Gastropoda,Littorinimorpha,Cymatiidae,Linatella
Gastropoda,Littorinimorpha,Ovulidae,Cyphoma
Gastropoda,Littorinimorpha,Cypraeidae,Macrocypraea
Gastropoda,Littorinimorpha,Cassidae,Cypraecassis
Bivalvia,Adapedonta,Hiatellidae,Cyrtodaria
Gastropoda,Seguenziida,Chilodontidae,Danilia
Gastropoda,Neogastropoda,Raphitomidae,Daphnella
Gastropoda,Doridida,Dendrodorididae,Dendrodoris
Scaphopoda,Gadilida,Entalinidae,Bathoxiphus
Scaphopoda,Dentaliida,Fustiariidae,Fustiaria
Gastropoda,Caenogastropoda incertae sedis,Desbruyeresiidae,Desbruyeresia
Gastropoda,Pteropoda,Cavoliniidae,Telodiacria
Bivalvia,Pectinida,Dimyidae,Dimya
Bivalvia,Lucinida,Lucinidae,Divaricella
Gastropoda,Lepetellida,Fissurellidae,Hemimarginula
Gastropoda,Neogastropoda,Eosiphonidae,Enigmaticolus
Scaphopoda,Dentaliida,Gadilinidae,Episiphon
Bivalvia,Galeommatida,Lasaeidae,Amerycina
Gastropoda,Neogastropoda,Fasciolariidae,Fasciolaria
Gastropoda,Littorinimorpha,Ficidae,Ficus
Gastropoda,Nudibranchia,Flabellinidae,Ziminella
Gastropoda,Neogastropoda,Fasciolariidae,Aristofusus
Gastropoda,Neogastropoda,Fasciolariidae,Heilprinia
Cephalopoda,Oegopsida,Cranchiidae,Galiteuthis
Gastropoda,Neogastropoda,Clathurellidae,Glyphostoma
Cephalopoda,Oegopsida,Gonatidae,Gonatopsis
Cephalopoda,Oegopsida,Chiroteuthidae,Grimalditeuthis
Gastropoda,Neogastropoda,Pseudomelatomidae,Hindsiclava
Gastropoda,Pteropoda,Hyalocylidae,Hyalocylis
Gastropoda,Caenogastropoda incertae sedis,Paskentanidae,Ifremeria
Gastropoda,Trochida,Skeneidae,Iheyaspira
Gastropoda,Neogastropoda,Cancellariidae,Iphinopsis
Gastropoda,Littorinimorpha,Elachisinidae,Laeviphitus
Gastropoda,Neogastropoda,Fasciolariidae,Polygona
Gastropoda,Neogastropoda,Fasciolariidae,Hemipolygona
Gastropoda,Lepetellida,Lepetodrilidae,Lepetodrilus
Cephalopoda,Oegopsida,Lepidoteuthidae,Lepidoteuthis
Gastropoda,Pteropoda,Thieleidae,Thielea
Gastropoda,Pteropoda,Heliconoididae,Heliconoides
Bivalvia,Arcida,Philobryidae,Cratis
Bivalvia,Mytilida,Modiolidae,Leiosolenus
Cephalopoda,Myopsida,Loliginidae,Lolliguncula
Gastropoda,Lepetellida,Fissurellidae,Lucapina
Bivalvia,Pectinida,Pectinidae,Nodipecten
Gastropoda,Littorinimorpha,Hipponicidae,Hipponix
Cephalopoda,Oegopsida,Mastigoteuthidae,Mastigoteuthis
Cephalopoda,Oegopsida,Magnapinnidae,Magnapinna
Gastropoda,Trochida,Solariellidae,Archiminolia
Gastropoda,Trochida,Solariellidae,Bathymophila
Gastropoda,Neogastropoda,Columbellidae,Sulcomitrella
Gastropoda,Neogastropoda,Muricidae,Siratus
Gastropoda,Neogastropoda,Muricidae,Hexaplex
Gastropoda,Neogastropoda,Muricidae,Murexsul
Gastropoda,Littorinimorpha,Naticidae,Notocochlis
Bivalvia,Cardiida,Tellinidae,Nitidotellina
Bivalvia,Manzanellida,Nucinellidae,Nucinella
Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis
Cephalopoda,Octopoda,Octopodidae,Amphioctopus
Gastropoda,Neogastropoda,Mangeliidae,Oenopota
Gastropoda,Nacellida,Neolepetopsidae,Paralepetopsis
Bivalvia,Pectinida,Pectinidae,Euvola
Gastropoda,Nacellida,Pectinodontidae,Pectinodonta
Gastropoda,Doridida,Discodorididae,Diaulula
Gastropoda,Pteropoda,Peraclidae,Peracle
Gastropoda,Neogastropoda,Muricidae,Phyllonotus
Gastropoda,Neogastropoda,Raphitomidae,Phymorhynchus
Gastropoda,Doridida,Discodorididae,Platydoris
Gastropoda,Littorinimorpha,Tornidae,Pleuromalaxis
Gastropoda,Neogastropoda,Fasciolariidae,Triplofusus
Gastropoda,Neogastropoda,Muricidae,Paziella
Gastropoda,Neogastropoda,Turridae,Polystira
Bivalvia,NA,Poromyidae,Poromya
Gastropoda,Littorinimorpha,Atlantidae,Protatlanta
Gastropoda,Caenogastropoda incertae sedis,Provannidae,Provanna
Gastropoda,Neogastropoda,Muricidae,Ocinebrellus
Gastropoda,Littorinimorpha,Pterotracheidae,Pterotrachea
Gastropoda,Neomphalida,Neomphaloidea incertae sedis,Retiskenea
Gastropoda,NA,Ringiculidae,Ringicula
Cephalopoda,Sepiolida,Sepiolidae,Semirossia
Bivalvia,Cardiida,Psammobiidae,Sanguinolaria
Cephalopoda,Octopoda,Octopodidae,Scaeurgus
Gastropoda,Neogastropoda,Volutidae,Scaphella
Gastropoda,Littorinimorpha,Cassidae,Sconsia
Cephalopoda,Sepiolida,Sepiolidae,Lusepiola
Gastropoda,Cycloneritida,Phenacolepadidae,Shinkailepas
Gastropoda,Littorinimorpha,Ovulidae,Simnialena
Gastropoda,Neogastropoda,Buccinidae,Siphonalia
Bivalvia,Gastrochaenida,Gastrochaenidae,Spengleria
Scaphopoda,Dentaliida,Dentaliidae,Striodentalium
Gastropoda,Littorinimorpha,Eulimidae,Eulima
Gastropoda,Littorinimorpha,Strombidae,Macrostrombus
Gastropoda,Pteropoda,Creseidae,Styliola
Cephalopoda,Oegopsida,Pholidoteuthidae,Pholidoteuthis
Bivalvia,Lucinida,Thyasiridae,Parathyasira
Gastropoda,Neogastropoda,Cancellariidae,Ventrilia
Gastropoda,Caenogastropoda incertae sedis,Triphoridae,Iniforis
Gastropoda,Littorinimorpha,Triviidae,Pusula
Cephalopoda,Oegopsida,Chiroteuthidae,Planctoteuthis
Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis
Gastropoda,Littorinimorpha,Velutinidae,Limneria
Gastropoda,Seguenziida,Seguenzioidea incertae sedis,Ventsia
Bivalvia,Venerida,Vesicomyidae,Pliocardia
Cephalopoda,Octopoda,Amphitretidae,Vitreledonella
Cephalopoda,Oegopsida,Enoploteuthidae,Watasenia
Bivalvia,Nuculanida,Yoldiidae,Orthoyoldia
Gastropoda,Neogastropoda,Austrosiphonidae,Kelletia
Gastropoda,Lepetellida,Fissurellidae,Megathura
Bivalvia,Pectinida,Pectinidae,Crassadoma
Gastropoda,Neogastropoda,Conidae,Californiconus
Gastropoda,Neogastropoda,Mitridae,Atrimitra
Gastropoda,Littorinimorpha,Cypraeidae,Neobernaya
Bivalvia,Myida,Pholadidae,Parapholas
Bivalvia,Myida,Pholadidae,Chaceia
Gastropoda,Littorinimorpha,Vermetidae,Thylacodes
Cephalopoda,Sepiolida,Sepiolidae,Stoloteuthis
Cephalopoda,Oegopsida,Mastigoteuthidae,Magnoteuthis
Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis
