ID,Year,Date,Season,River,Creek,Bout,Distance,DOMGL,Salinity,TempC,Catch,CPUE,test.total
10TRANSRB113,10,2013-11-18,TRANS,RB,11,3,95,3.15,0.2,23.9,94,99,68
10TRANSRB113,10,2014-01-23,TRANS,RB,11,3,106,7.53,0.3,13.5,94,89,69
10TRANSRB113,10,2014-03-31,TRANS,RB,11,3,70,NA,0.3,20.5,94,134,84
10TRANSRB131,10,2013-11-17,TRANS,RB,13,1,95,4.26,0.3,25.1,102,108,58
10TRANSRB131,10,2014-01-23,TRANS,RB,13,1,73,6.29,0.3,14.7,102,140,35
10TRANSRB131,10,2014-03-31,TRANS,RB,13,1,64,NA,0.5,23.1,102,159,59
10TRANSRB131,10,2014-05-31,TRANS,RB,13,1,87,4.35,7,27.7,102,117,25
10TRANSRB131,10,2014-07-09,TRANS,RB,13,1,65,3.12,0.2,29.8,102,156,40
10TRANSRB132,10,2013-11-17,TRANS,RB,13,2,79,4.18,0.3,25,70,88,38
10TRANSRB132,10,2014-01-23,TRANS,RB,13,2,93,6.65,0.3,14.1,70,75,48
10TRANSRB132,10,2014-03-23,TRANS,RB,13,2,80,4.78,0.4,25.4,70,88,40
10TRANSRB132,10,2014-05-31,TRANS,RB,13,2,71,4,7,27.6,70,99,1
10TRANSRB132,10,2014-07-09,TRANS,RB,13,2,102,2.75,0.2,29.1,70,69,26
10TRANSRB133,10,2013-11-18,TRANS,RB,13,3,80,3.57,0.2,25,48,60,29
10TRANSRB133,10,2014-01-23,TRANS,RB,13,3,89,6.56,0.3,14.7,48,54,23
10TRANSRB133,10,2014-03-23,TRANS,RB,13,3,72,4.66,0.4,25.3,48,67,25
10TRANSRB133,10,2014-05-31,TRANS,RB,13,3,78,4.7,6.6,28.4,48,62,10
10TRANSRB133,10,2014-07-09,TRANS,RB,13,3,87,2.88,0.2,29,48,55,3
10TRANSRB141,10,2013-11-18,TRANS,RB,14,1,96,3.73,0.3,28.1,33,34,20
10TRANSRB141,10,2014-01-23,TRANS,RB,14,1,100,5.51,0.4,16.8,33,33,15
10TRANSRB141,10,2014-03-31,TRANS,RB,14,1,80,NA,0.9,24.1,33,41,17
10TRANSRB142,10,2013-11-18,TRANS,RB,14,2,70,3.68,0.3,25.3,58,83,33
10TRANSRB142,10,2014-01-23,TRANS,RB,14,2,100,5.44,0.4,16.8,58,58,40
10TRANSRB142,10,2014-03-31,TRANS,RB,14,2,85,NA,0.9,23.9,58,68,28
10TRANSRB143,10,2013-11-18,TRANS,RB,14,3,87,3.79,0.3,25.3,75,86,31
10TRANSRB143,10,2014-01-22,TRANS,RB,14,3,101,5.78,0.4,17.7,75,74,44
10TRANSRB143,10,2014-03-22,TRANS,RB,14,3,70,3.55,0.6,25.9,75,107,44
10TRANSRB161,10,2013-12-02,TRANS,RB,16,1,97,4.6,0.6,21,12,12,2
10TRANSRB161,10,2014-03-24,TRANS,RB,16,1,110,3.22,1.8,24.1,12,11,8
10TRANSRB162,10,2013-12-02,TRANS,RB,16,2,110,4.82,0.5,21.2,3,3,0
10TRANSRB162,10,2014-03-24,TRANS,RB,16,2,121,3.64,1.8,24.2,3,2,1
10TRANSRB163,10,2013-12-02,TRANS,RB,16,3,100,5.15,0.5,21.1,9,9,5
10TRANSRB163,10,2014-03-24,TRANS,RB,16,3,88,3.29,1.5,24.1,9,10,3
10TRANSRB181,10,2013-11-18,TRANS,RB,18,1,89,4.14,0.3,25.6,63,70,31
10TRANSRB181,10,2014-01-23,TRANS,RB,18,1,100,6.52,0.3,16.4,63,63,51
10TRANSRB181,10,2014-03-22,TRANS,RB,18,1,101,4.79,0.5,26.2,63,62,51
10TRANSRB182,10,2013-11-18,TRANS,RB,18,2,82,3.55,0.3,25.5,80,98,27
10TRANSRB182,10,2014-01-23,TRANS,RB,18,2,80,6.98,0.3,15.9,80,100,57
10TRANSRB182,10,2014-03-22,TRANS,RB,18,2,92,4.76,0.5,25.8,80,87,62
10TRANSRB183,10,2013-11-18,TRANS,RB,18,3,90,3.79,0.3,25.5,53,59,43
10TRANSRB183,10,2014-01-23,TRANS,RB,18,3,109,6.89,0.3,15.5,53,49,41
10TRANSRB183,10,2014-03-22,TRANS,RB,18,3,84,3.84,0.5,25.5,53,63,39
10TRANSRB191,10,2013-11-18,TRANS,RB,19,1,96,4.08,0.3,24.8,23,24,7
10TRANSRB191,10,2014-01-22,TRANS,RB,19,1,104,6.13,0.4,17.2,23,22,7
10TRANSRB191,10,2014-03-31,TRANS,RB,19,1,77,NA,1.5,23.2,23,30,9
10TRANSRB192,10,2013-11-18,TRANS,RB,19,2,101,3.82,0.3,24.8,37,37,15
10TRANSRB192,10,2014-01-22,TRANS,RB,19,2,105,6.09,0.4,17.3,37,35,8
10TRANSRB192,10,2014-03-31,TRANS,RB,19,2,109,NA,1.2,22.7,37,34,11
10TRANSRB193,10,2013-11-18,TRANS,RB,19,3,97,2.79,0.3,24.7,21,22,6
10TRANSRB193,10,2014-01-22,TRANS,RB,19,3,113,5.88,0.4,17.3,21,19,11
10TRANSRB193,10,2014-03-31,TRANS,RB,19,3,98,NA,1.1,22.7,21,21,16
10TRANSRB81,10,2013-11-18,TRANS,RB,8,1,80,3.34,0.2,24.2,61,76,19
10TRANSRB81,10,2014-01-21,TRANS,RB,8,1,114,6.33,0.3,17.1,61,54,24
10TRANSRB81,10,2014-01-21,TRANS,RB,8,1,118,6.33,0.3,17.1,61,52,11
10TRANSRB81,10,2014-03-22,TRANS,RB,8,1,100,3.02,0.4,22.9,61,61,33
10TRANSRB81,10,2014-05-31,TRANS,RB,8,1,81,4.39,4.9,27.4,61,75,4
10TRANSRB81,10,2014-07-09,TRANS,RB,8,1,92,2.95,0.2,28.6,61,66,3
10TRANSRB82,10,2013-11-18,TRANS,RB,8,2,70,3.58,0.2,24.3,74,106,44
10TRANSRB82,10,2014-01-23,TRANS,RB,8,2,104,7.26,0.3,14.1,74,71,49
10TRANSRB82,10,2014-03-22,TRANS,RB,8,2,98,3.7,0.4,23.3,74,76,58
10TRANSRB82,10,2014-05-31,TRANS,RB,8,2,78,4.16,4.4,27,74,95,4
10TRANSRB82,10,2014-07-09,TRANS,RB,8,2,93,3.06,0.2,28.5,74,80,4
10TRANSRB83,10,2013-11-18,TRANS,RB,8,3,78,3.13,0.2,24.2,49,63,27
10TRANSRB83,10,2014-03-22,TRANS,RB,8,3,100,4.23,0.4,23.4,49,49,44
10TRANSRB83,10,2014-05-31,TRANS,RB,8,3,81,3.72,4.1,26.8,49,61,4
10TRANSRB83,10,2014-07-09,TRANS,RB,8,3,96,2.93,0.2,28.6,49,51,14
10TRANSRB91,10,2013-11-17,TRANS,RB,9,1,106,2.84,0.3,23.9,116,109,84
10TRANSRB91,10,2014-01-21,TRANS,RB,9,1,104,5.37,0.3,16.5,116,112,88
10TRANSRB91,10,2014-03-23,TRANS,RB,9,1,86,2.49,0.4,23.4,116,135,143
10TRANSRB91,10,2014-05-31,TRANS,RB,9,1,65,4.31,3.5,26.9,116,180,82
10TRANSRB91,10,2014-07-09,TRANS,RB,9,1,80,1.98,0.2,28.5,116,145,69
10TRANSRB92,10,2013-11-17,TRANS,RB,9,2,90,3.06,0.3,24.1,176,196,68
10TRANSRB92,10,2014-01-21,TRANS,RB,9,2,85,5.73,0.3,16.7,176,207,86
10TRANSRB92,10,2014-03-23,TRANS,RB,9,2,67,2.56,0.4,23.5,176,262,189
10TRANSRB92,10,2014-06-02,TRANS,RB,9,2,53,2.15,2.5,25.9,176,332,55
10TRANSRB92,10,2014-07-09,TRANS,RB,9,2,93,1.98,0.2,28.8,176,189,23
10TRANSRB93,10,2013-11-17,TRANS,RB,9,3,103,2.94,0.3,24.3,127,123,79
10TRANSRB93,10,2014-01-21,TRANS,RB,9,3,91,6.03,0.3,16.8,127,140,43
10TRANSRB93,10,2014-03-23,TRANS,RB,9,3,68,2.92,0.4,23.6,127,187,92
10TRANSRB93,10,2014-06-02,TRANS,RB,9,3,80,2.15,1.1,24.5,127,159,57
10TRANSRB93,10,2014-07-09,TRANS,RB,9,3,82,2.05,0.2,28.9,127,155,16
10TRANSTB11,10,2014-01-22,TRANS,TB,1,1,100,5.28,1.1,17.2,33,33,20
