REGION,CUM,YEAR,PERIOD,MONTH,DAY,SITE,TRANSECT,SPECIES,SL,TL,WEIGHT,COND,TEMP,DEPTH,COMMENT,ENTERED BY,CHECKED BY,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,14,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,14.7,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,ERISUC,13,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPMIC,17.7,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,18.7,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPMAC,12.2,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,16.7,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPMAC,12.5,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,14.7,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,16.4,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHRL,.,LEPGUL,15.2,.,.,575,36,110,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,19,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,MICSAL,31.4,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,22.9,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,21.2,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,25.6,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,20.9,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,18.3,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,19.5,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,19.6,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,ERISUC,17.5,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,ERISUC,13,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,ERISUC,14.5,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,15.8,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPMIC,19.4,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,16.1,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,16,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,14.6,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPPUN,11.2,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPPUN,10.7,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,13.2,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,17.1,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,14,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,AMENAT,14.2,.,.,575,34,120,.,.,.,
SRS,12,1998,2,5,13,AHSC,.,LEPGUL,17.5,.,.,575,34,120,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,23.5,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,24.1,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,23.6,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,23.6,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,15.6,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,22,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPPUN,11.7,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,14.3,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,18.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPMAC,9.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPGUL,15.7,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPPUN,11.1,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPGUL,15,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPPUN,12.6,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,15.7,.,.,470,28,110,.,.,.,
